system_file	kepler_file	num_moons	Planet_period(days)	P_Transits_present/absent	SNR1	SNR2	SNR3	SNR4	SNR5	M_Transits_present/absent1	M_Transits_present/absent2	M_Transits_present/absent3	M_Transits_present/absent4	M_Transits_present/absent5	DW_statistic	Best_offset	Planet_Transit_duration	t0_bary
july13_nores_917	dummy_lc.txt	2	161.46153048045838	11111101	6.923680954306945	3.6801963209856416	NA	NA	NA	11111101	10111101	NA	NA	NA	1.9886047842072478	6.119657270707502	0.5678725248186418	360.0166733011552
july13_nores_42	dummy_lc.txt	2	95.0201221227773	11010101110111	4.46625669788609	3.4377336721816856	NA	NA	NA	11010101110111	11010101110111	NA	NA	NA	1.9897036644483939	1.7175770065989864	0.16216697005985528	354.6146403027264
july13_nores_312	dummy_lc.txt	2	12.231722434095365	111111101101111100000000111111001111101111111100000001111111111111011111111100000000111011110111111111	2.6637441160641266	2.849223049089227	NA	NA	NA	111111101101111100000000111111001111101111111100000001111111111111011111111100000000111011110111111111	111111101101111100000000111111001111101111111100000001111111111111011111111100000000111011110111111111	NA	NA	NA	1.9858898560885057	0.5415729535508426	0.24751502875836384	353.43630995424894
july13_nores_307	dummy_lc.txt	2	284.7260683255922	11011	4.00906902481529	8.463267945437888	NA	NA	NA	11011	10001	NA	NA	NA	1.9886771669553476	0.0	0.5386127664726973	353.89712760455893
july13_nores_618	dummy_lc.txt	3	370.967907664255	1111	1.8385617318689618	1.306541556057461	1.5482446548642015	NA	NA	1111	1111	1111	NA	NA	1.988123619549078	32.81597555708907	0.4075870554327884	386.2051550933643
july13_nores_978	dummy_lc.txt	3	513.8027428979688	111	13.598280121505232	6.846167313883409	4.300405280315106	NA	NA	111	111	111	NA	NA	1.988904141369679	0.0	0.7437825668637921	355.39656966425935
july13_nores_338	dummy_lc.txt	3	110.54525675507429	110110111011	1.377364462850364	1.3394388182266042	2.252618370317281	NA	NA	110110111011	110110111011	000110111010	NA	NA	1.9893112334107728	0.0	0.43303890215141067	353.3969415704046
july13_nores_23	dummy_lc.txt	3	37.94161349298082	111110011111111001101111000111111	1.6898851132799053	2.133598153256401	0.9157059695593027	NA	NA	111110011111111001101111000111111	111110011111111001101111000111111	111110011111111001101111000111111	NA	NA	1.9873854033974925	21.450150265766066	0.18746148077791083	374.3471236493937
july13_nores_903	dummy_lc.txt	3	72.93004387948805	11101111011110111	6.2555014532325925	5.938336756754662	2.7000934530353544	NA	NA	11101111011110111	11101111011110111	11101111011110111	NA	NA	1.990127161909372	0.0	0.25786770100585626	352.89693265133417
july13_nores_253	dummy_lc.txt	3	55.807373067728555	11110111010011111001111	1.741517772837881	2.903403310050499	3.124754742161569	NA	NA	11110111010011111001111	11110111010011111001111	11110111000011111001111	NA	NA	1.986083562370885	6.940512086347314	0.29993767826400525	359.8375083841836
july13_nores_68	dummy_lc.txt	3	149.61983438376998	111101111	7.138955804497811	4.57997431676246	5.717845293347225	NA	NA	111101111	111101111	110100100	NA	NA	1.987828161303611	0.0	0.23261036164508453	353.3969681509339
july13_nores_213	dummy_lc.txt	3	159.69127384886892	11111101	2.2817289205287663	3.9616655049650538	3.0591482374052505	NA	NA	11111101	11111101	11111101	NA	NA	1.9895688539167933	19.656433043008025	0.32842611958666046	372.5534121028158
july13_nores_263	dummy_lc.txt	3	78.15189939795768	1110111011110111	7.538228058966016	12.67813936780941	8.468846108230505	NA	NA	1110111011110111	1110111011110111	1110111011110111	NA	NA	1.9885343296125602	23.405590392108397	0.2917124697008523	376.80292076598573
july13_nores_898	dummy_lc.txt	3	22.497112412807546	1101111100001111011111111000011111111111100001111101111	68.07360553831784	63.294933951441934	222.30621973642442	NA	NA	1101111100001111011111111000011111111111100001111101111	1101110100001110011011110000011110111011100001011100111	1101110000001110001111110000011110001111100001111100001	NA	NA	1.9859277044326051	8.457763504136855	0.22334757497419194	361.8545865750108
july13_nores_268	dummy_lc.txt	3	153.5698556003313	111101011	12.567712280811893	12.78684899050899	10.091629579688567	NA	NA	111101011	111101011	111101011	NA	NA	1.9899465848497824	5.800822436478938	0.49224569193604745	359.6973257339565
july13_nores_233	dummy_lc.txt	3	38.01774200586118	111110011111111001101111000111111	0.6908160102489014	1.1851810158533904	0.6813051307180946	NA	NA	111110011111111001101111000111111	111110011111111001101111000111111	111110011111111001101111000111111	NA	NA	1.9884649071391645	20.09353312639821	0.19324621657386346	372.99053475883085
july13_nores_828	dummy_lc.txt	3	151.73397476139726	111101111	1.7214659370368135	1.6841158629705448	1.5966022718721085	NA	NA	111101111	111101111	111101111	NA	NA	1.9853880231242675	4.294974781664171	0.6038214494208348	357.6917847481438
july13_nores_678	dummy_lc.txt	3	232.07792266954493	111101	2.282419012039761	1.7601423297746361	1.7011196150399863	NA	NA	111101	111101	111101	NA	NA	1.9919711769459612	51.593877970170475	0.5175222485469689	404.9908071594164
july13_nores_518	dummy_lc.txt	3	256.800147010213	11111	0.9886670900044622	1.1343557383684122	2.163875944430187	NA	NA	11111	11111	11111	NA	NA	1.9901241268029641	27.42338734126883	0.47008260095601206	380.81005128006234
july13_nores_333	dummy_lc.txt	3	37.03987504790993	111110011111111000111111100101111	0.4108471418390576	0.5168540242816727	0.510836658746542	NA	NA	111110011111111000111111100101111	111110011111111000111111100101111	111110011111111000111111100101111	NA	NA	1.9870061275118298	25.40112979857698	0.39062221373818784	378.29809548025975
july13_nores_789	dummy_lc.txt	4	110.54525675507429	110111111011	0.7146500230383747	0.8172646699450603	1.0846524659960253	1.1920210455916687	NA	110111111011	110111111011	110111111011	110111111011	NA	1.9889528567999022	0.0	0.3955157407025044	352.8903889700079
july13_nores_4	dummy_lc.txt	4	137.53941738036298	111101101	3.341496836849328	2.411564599190285	1.3696174502381213	1.201063223322512	NA	111101101	111101101	111101101	111101101	NA	1.9890603994566625	2.576553029402304	0.3691668760344062	355.97359845435125
july13_nores_609	dummy_lc.txt	4	281.7454962364861	11011	1.5104370672533456	1.340820545123983	1.8227134867998733	1.972295353054094	NA	11011	11011	11011	11011	NA	1.9875686623510482	10.979592440138589	0.412078676392541	364.3771787831946
july13_nores_909	dummy_lc.txt	4	59.83320596600937	111101111101111101111	2.2851270566842232	1.9521492633416468	1.8492521793715337	2.0847712579112785	NA	111101111101111101111	111101111101111101111	111101111101111101111	111101111101111101111	NA	1.9911869670647115	4.026930313904235	0.30876667662332796	356.9238766453487
july13_nores_329	dummy_lc.txt	4	58.2942162202893	1111011111001111001111	2.760974228330936	1.94671527651932	1.5677020047944352	2.8293408500037853	NA	1111011111001111001111	1111011111001111001111	1111011111001111001111	1111011111001111001111	NA	1.9872616428913292	3.9025635139789365	0.27176745479401004	356.79955924877885
july13_nores_819	dummy_lc.txt	4	155.6617863054375	11111101	3.2475002184016395	3.8430573569596267	4.303160723029763	5.903322726700758	NA	11111101	11111101	11111101	00111001	NA	1.9912857706191638	26.483967813221014	0.34578799066547594	379.8809341459429
july13_nores_9	dummy_lc.txt	4	61.8451877629578	11101111101111101111	2.6543051683303927	0.825486469344694	2.331000158949574	1.718299255158254	NA	11101111101111101111	11101111101111101111	11101111101111101111	11101111101111101111	NA	1.9875574033812549	40.32405705093981	0.3538289400473651	393.22103160554644
july13_nores_784	dummy_lc.txt	4	94.92493807008442	11010101110111	1.2275717062053868	1.268866332869094	1.4424856474569772	0.7476478358933902	NA	11010101110111	11010101110111	11010101110111	11010101110111	NA	1.9896879774845753	0.0	0.5060549785439393	353.39698731346436
july13_nores_504	dummy_lc.txt	4	252.46188340262853	11111	2.7630428170420127	2.505929919498963	4.226186038213746	3.6694385892983763	NA	11111	11111	11111	11111	NA	1.989220036870224	24.491091236622438	0.3838978031278561	377.8881743966888
